userid,education,region,hhsz,age,income,child,race,country,domain,date,product,qty,price
12856796,,2.0,1,6.0,1,0,1,0,amazon.com,20070101,"PUBLIC PLACES, PRIVATE JOURNEYS: ETHNOGRAPHY, ENTERTAINMENT, AND THE TOURIST GAZE",1,5.0
12856796,,2.0,1,6.0,1,0,1,0,amazon.com,20070101,"THE GEOGRAPHICAL IMAGINATION IN AMERICA, 1880-1950",1,3.77
12856796,,2.0,1,6.0,1,0,1,0,amazon.com,20070101,CRITICAL PASSIONS: SELECTED ESSAYS (POST-CONTEMPORARY INTERVENTIONS),1,6.79
12879242,,,5,7.0,2,0,1,0,amazon.com,20070101,"NEW SPIRIT-FILLED LIFE BIBLE, NEW KING JAMES VERSION: KINGDOM EQUIPPING THROUGH THE POWER OF THE WORD, BRITISH TAN,  GENUINE LEATHER",1,44.94
12941587,4.0,4.0,4,8.0,6,1,1,0,amazon.com,20070101,DIAGNOSTIC MEDICAL SONOGRAPHY: OBSTETRICS AND GYNECOLOGY (DIAGNOSTIC MEDICAL SONOGRAPHY),1,49.99
12941587,4.0,4.0,4,8.0,6,1,1,0,amazon.com,20070101,VASCULAR TECHNOLOGY: AN ILLUSTRATED REVIEW FOR THE REGISTRY EXAM,1,49.95
13068697,2.0,4.0,1,7.0,2,0,1,0,amazon.com,20070101,"ORDER FROM CHAOS: A SIX-STEP PLAN FOR ORGANIZING YOURSELF, YOUR OFFICE, AND YOUR LIFE CONDITION: NEW",1,9.96
13503636,4.0,3.0,4,8.0,7,1,1,1,barnesandnoble.com,20070101,TAO TE CHING: A NEW ENGLISH VERSION PAPERBACK,1,8.95
13503636,4.0,3.0,4,8.0,7,1,1,1,barnesandnoble.com,20070101,THE COSMO KAMA SUTRA: 77 MIND-BLOWING SEX POSITIONS HARDCOVER,1,12.56
13503636,4.0,3.0,4,8.0,7,1,1,1,barnesandnoble.com,20070101,THE COLLECTED POEMS OF EMILY DICKINSON (BARNES & NOBLE CLASSICS SERIES) PAPERBACK,1,5.95
13586673,,1.0,4,10.0,6,1,1,0,amazon.com,20070101,THE COMPLETE RUNNER'S DAY-BY-DAY LOG AND CALENDAR 2007 CONDITION: NEW,1,10.17
13649364,,1.0,3,4.0,5,0,1,1,amazon.com,20070101,THE WAY YOU LOOK TONIGHT CONDITION: NEW,1,6.5
13649364,,1.0,3,4.0,5,0,1,1,amazon.com,20070101,TOUCHSTONE CONDITION: NEW,1,6.99
13649364,,1.0,3,4.0,5,0,1,1,amazon.com,20070101,DEEP IN THE HEART (HARPER MONOGRAM) CONDITION: NEW,1,6.99
13649364,,1.0,3,4.0,5,0,1,1,amazon.com,20070101,PLUM LOVIN' (A STEPHANIE PLUM NOVEL) CONDITION: NEW,1,10.17
13649364,,1.0,3,4.0,5,0,1,1,amazon.com,20070101,ALL FALL DOWN CONDITION: NEW,1,6.99
13680594,4.0,2.0,2,10.0,5,0,1,1,amazon.com,20070101,THE HAMILTON HEIR (LOVE INSPIRED),1,0.1
13680594,4.0,2.0,2,10.0,5,0,1,1,amazon.com,20070101,BY HER SIDE (LOVE INSPIRED),1,0.01
13743146,,3.0,2,10.0,5,1,1,0,amazon.com,20070101,"SNOWMAN STORYBOOK, THE (JUST RIGHT BOOKS)",1,0.99
13851582,,3.0,4,6.0,4,1,1,1,amazon.com,20070101,"CRIMINAL INVESTIGATION,  SECOND EDITION: A CONTEMPORARY PERSPECTIVE (CRIMINAL JUSTICE ILLUMINATED)",1,40.0
13851582,,3.0,4,6.0,4,1,1,1,amazon.com,20070101,"STRATEGIES FOR SUCCESSFUL WRITING: A RHETORIC, RESEARCH GUIDE, READER AND HANDBOOK (7TH EDITION)",1,9.67
13851582,,3.0,4,6.0,4,1,1,1,amazon.com,20070101,CRIMINOLOGY TODAY: AN INTEGRATIVE INTRODUCTION (4TH EDITION),1,57.0
13851582,,3.0,4,6.0,4,1,1,1,amazon.com,20070101,POLICE OPERATIONS: THEORY AND PRACTICE,1,53.99
13851582,,3.0,4,6.0,4,1,1,1,amazon.com,20070101,THE BRIEF WADSWORTH HANDBOOK,1,31.5
13851582,,3.0,4,6.0,4,1,1,1,amazon.com,20070101,CORRECTIONS IN THE 21ST CENTURY,1,30.0
13875239,2.0,1.0,1,5.0,6,0,1,1,amazon.com,20070101,THE LIZA MINNELLI SCRAPBOOK,1,1.99
14458751,,3.0,4,7.0,6,1,1,0,amazon.com,20070101,EXAMKRACKERS MCAT AUDIO OSMOSIS WITH JORDAN AND JON (EXAMKRACKERS) CONDITION: NEW,1,131.97
14458751,,3.0,4,7.0,6,1,1,0,amazon.com,20070101,"MCAT COMPLETE STUDY PACKAGE, SIXTH EDITION (EXAM KRACKERS) (EXAM KRACKERS) CONDITION: NEW",1,110.22
14530124,,1.0,1,9.0,5,0,1,0,amazon.com,20070101,WE ARE THE ONES WE HAVE BEEN WAITING FOR LIGHT IN A TIME OF DARKNESS BOOKS ALICE WALKER,1,16.29
14538858,,4.0,2,6.0,5,0,1,0,amazon.com,20070101,INSTANT HARMONICA: QUICK AND EASY INSTRUCTION FOR THE BEGINNER (INSTANT) CONDITION: NEW,1,6.95
14554971,,3.0,3,5.0,1,1,1,0,amazon.com,20070101,THE POWER OF THREE CONDITION: NEW,1,5.99
14554971,,3.0,3,5.0,1,1,1,0,amazon.com,20070101,THE BOOK OF THREE (CHARMED) CONDITION: NEW,1,12.21
14554971,,3.0,3,5.0,1,1,1,0,amazon.com,20070101,CHARMED 2007 CALENDAR CONDITION: NEW,1,10.78
14559596,,4.0,2,10.0,5,1,1,0,barnesandnoble.com,20070101,"SOUPS, SALADS AND STARTERS HARDCOVER",1,7.18
14559596,,4.0,2,10.0,5,1,1,0,barnesandnoble.com,20070101,WILLIAMS-SONOMA BAKING HARDCOVER,1,7.18
14559596,,4.0,2,10.0,5,1,1,0,barnesandnoble.com,20070101,BIGGEST BOOK OF DECORATIVE PAINTING (BETTER HOMES & GARDENS SERIES) PAPERBACK,1,4.5
14584723,,1.0,4,10.0,7,1,1,0,amazon.com,20070101,HOW TO PREPARE FOR THE STOCKBROKER EXAM: SERIES 7 (BARRON'S HOW TO PREPARE FOR THE STOCKBROKER EXAM: SERIES 7),1,8.99
14594414,1.0,3.0,3,8.0,7,1,1,0,barnesandnoble.com,20070101,WRITING RESEARCH PAPERS: A COMPLETE GUIDE (SPIRAL-BOUND) (11TH EDITION) OTHER FORMAT,1,22.03
14621501,,1.0,2,6.0,3,0,1,0,barnesandnoble.com,20070101,HOMEMADE IN NO TIME: 400 GREAT-TASTING RECIPES FROM CONVENIENCE FOODS (BETTER HOMES AND GARDENS SERIES) OTHER FORMAT,1,5.0
14621501,,1.0,2,6.0,3,0,1,0,barnesandnoble.com,20070101,"YEAH, I SAID IT PAPERBACK",1,2.0
14621501,,1.0,2,6.0,3,0,1,0,barnesandnoble.com,20070101,BASEBALL DRILL BOOK PAPERBACK,1,19.95
14621501,,1.0,2,6.0,3,0,1,0,barnesandnoble.com,20070101,IT'S A SISTAH THING: A GUIDE TO UNDERSTANDING AND DEALING WITH FIBROIDS FOR AFRICAN AMERICAN WOMEN PAPERBACK,1,15.0
14626094,,2.0,2,9.0,2,0,1,0,amazon.com,20070101,"SPELLBOUND (SWEEP, 6) CONDITION: NEW",1,5.99
14626094,,2.0,2,9.0,2,0,1,0,amazon.com,20070101,"AWAKENING (SWEEP, 5) CONDITION: NEW",1,5.99
14626094,,2.0,2,9.0,2,0,1,0,amazon.com,20070101,"DARK MAGICK (SWEEP, 4) CONDITION: NEW",1,5.99
14713089,,3.0,4,7.0,7,1,1,0,amazon.com,20070101,PLATO: REPUBLIC,1,4.89
14713089,,3.0,4,7.0,7,1,1,0,amazon.com,20070101,NICOMACHEAN ETHICS,1,2.0
14713089,,3.0,4,7.0,7,1,1,0,amazon.com,20070101,CHEMICAL PRINCIPLES: THE QUEST FOR INSIGHT,1,44.99
14713089,,3.0,4,7.0,7,1,1,0,amazon.com,20070101,BIOLOGY (7TH EDITION),1,93.99
14713089,,3.0,4,7.0,7,1,1,0,amazon.com,20070101,CHEMICAL PRINCIPLES STUDENT'S STUDY GUIDE & SOLUTIONS MANUAL,1,37.0
14713089,,3.0,4,7.0,7,1,1,0,amazon.com,20070101,"THE BASIC WRITINGS OF JOHN STUART MILL: ON LIBERTY, THE SUBJECTION OF WOMEN AND UTILITARIANISM",1,5.79
14713089,,3.0,4,7.0,7,1,1,0,amazon.com,20070101,CHILD DEVELOPMENT WITH MULTIMEDIA COURSEWARE CD AND POWERWEB,1,58.99
14713089,,3.0,4,7.0,7,1,1,0,amazon.com,20070101,GROUNDWORK FOR THE METAPHYSICS OF MORALS,1,8.15
14736058,,4.0,3,9.0,7,1,1,1,amazon.com,20070101,THE PEARL CONDITION: NEW,1,10.85
14758017,1.0,1.0,2,8.0,7,0,1,0,amazon.com,20070101,PSYCHIC CIRCLE CONDITION: NEW,1,17.25
14765573,,4.0,2,8.0,2,0,1,0,amazon.com,20070101,THE FOOD-MOOD-BODY CONNECTION: NUTRITION-BASED AND ENVIRONMENTAL APPROACHES TO MENTAL HEALTH,1,6.25
14765573,,4.0,2,8.0,2,0,1,0,amazon.com,20070101,STAND UP FOR YOUR LIFE: A PRACTICAL STEP-BY-STEP PLAN TO BUILD INNER CONFIDENCE AND PERSONAL POWER,1,2.25
14765573,,4.0,2,8.0,2,0,1,0,amazon.com,20070101,GODS PATHWAY TO HEALING: HERBS THAT HEAL (GODS PATHWAY TO HEALING) CONDITION: NEW,1,6.99
14775815,2.0,3.0,3,9.0,1,1,1,0,amazon.com,20070101,PSYCHOLOGICAL TESTING AND ASSESSMENT: AN INTRODUCTION TO TESTS AND MEASUREMENT,1,40.0
14775815,2.0,3.0,3,9.0,1,1,1,0,amazon.com,20070101,STANDARDS FOR EDUCATIONAL AND PSYCHOLOGICAL TESTING 1999 (STANDARDS FOR EDUCATIONAL AND PSYCHOLOGICAL TESTING),1,46.98
14796973,,1.0,2,3.0,3,0,1,0,barnesandnoble.com,20070101,DEAFENING PAPERBACK,1,2.98
14796973,,1.0,2,3.0,3,0,1,0,barnesandnoble.com,20070101,THERE AND BACK AGAIN: AN ACTOR'S TALE HARDCOVER,1,5.0
14796973,,1.0,2,3.0,3,0,1,0,barnesandnoble.com,20070101,THE POEMS OF LADY MARY WROTH PAPERBACK,1,7.35
14952817,,4.0,3,11.0,3,1,1,0,amazon.com,20070101,CONSECRATION TO THE IMMACULATE HEART OF MARY: ACCORDING TO THE SPIRIT OF ST. LOUIS DE-MONTFORT'S TRUE DEVOTION TO MARY CONDITION: NEW,1,3.0
14952817,,4.0,3,11.0,3,1,1,0,amazon.com,20070101,TRUE DEVOTION TO MARY CONDITION: NEW,1,9.0
14953899,4.0,3.0,3,2.0,6,1,1,0,amazon.com,20070101,CHEMISTRY: THE CENTRAL SCIENCE (10TH EDITION),1,78.0
14953899,4.0,3.0,3,2.0,6,1,1,0,amazon.com,20070101,APPROACHING DEMOCRACY (5TH EDITION),1,43.0
14953899,4.0,3.0,3,2.0,6,1,1,0,amazon.com,20070101,THOMAS' CALCULUS (11TH EDITION) (THOMAS SERIES),1,80.0
14953899,4.0,3.0,3,2.0,6,1,1,0,amazon.com,20070101,LITERATURE AND THE WRITING PROCESS (7TH EDITION),1,30.0
15051798,,1.0,3,6.0,6,1,1,1,amazon.com,20070101,KISSCUT,1,0.63
15056263,,4.0,2,8.0,1,0,1,0,amazon.com,20070101,"NEVER A DRY MOMENT (BABY BLUES SCRAPBOOK, BOOK 17)",1,1.71
15056263,,4.0,2,8.0,1,0,1,0,amazon.com,20070101,"PLAYDATE: CATEGORY 5: BABY BLUES SCRAPBOOK #19 (BABY BLUES SCRAPBOOK, 19)",1,2.63
15056263,,4.0,2,8.0,1,0,1,0,amazon.com,20070101,BUTT NAKED BABY BLUES: A BABY BLUES TREASURY,1,2.64
15056263,,4.0,2,8.0,1,0,1,0,amazon.com,20070101,"I THOUGHT LABOR ENDED WHEN THE BABY WAS BORN (BABY BLUES SCRAPBOOK, NO 4)",1,2.7
15056263,,4.0,2,8.0,1,0,1,0,amazon.com,20070101,"I SAW ELVIS IN MY ULTRASOUND (BABY BLUES SCRAPBOOK, NO. 7)",1,3.19
15056263,,4.0,2,8.0,1,0,1,0,amazon.com,20070101,WALL-TO-WALL BABY BLUES: A BABY BLUES TREASURY,1,6.99
15056263,,4.0,2,8.0,1,0,1,0,amazon.com,20070101,OUR SERVER IS DOWN: BABY BLUES SCRAPBOOK #20 (BABY BLUES SCRAPBOOK),1,4.99
15056263,,4.0,2,8.0,1,0,1,0,amazon.com,20070101,"NIGHT OF THE LIVING DAD (BABY BLUES SCRAPBOOK , NO 6)",1,3.99
15056263,,4.0,2,8.0,1,0,1,0,amazon.com,20070101,DRIVING UNDER THE INFLUENCE OF CHILDREN: A BABY BLUES TREASURY,1,2.0
15056263,,4.0,2,8.0,1,0,1,0,amazon.com,20070101,SOMETHING CHOCOLATE THIS WAY COMES: A BABY BLUES COLLECTION (BABY BLUES SCRAPBOOK #21),1,4.85
15056263,,4.0,2,8.0,1,0,1,0,amazon.com,20070101,"WE ARE EXPERIENCING PARENTAL DIFFICULTIES...PLEASE STAND BY: BABY BLUES SCRAPBOOK NO.5 (BABY BLUES SCRAPBOOK, NO 5)",1,2.81
15056263,,4.0,2,8.0,1,0,1,0,amazon.com,20070101,"IF I'M A STAY AT HOME MOM, WHY AM I ALWAYS IN THE CAR? (BABY BLUES 11 SCRAPBOOK)",1,1.95
15056263,,4.0,2,8.0,1,0,1,0,amazon.com,20070101,"THREATS, BRIBES & VIDEOTAPE (KIRKMAN, RICK. BABY BLUES SCRAPBOOK, 10.)",1,4.7
15056263,,4.0,2,8.0,1,0,1,0,amazon.com,20070101,SHE STARTED IT!,1,1.98
15056263,,4.0,2,8.0,1,0,1,0,amazon.com,20070101,"THE SUPER-ABSORBENT, BIODEGRADABLE, FAMILY-SIZE BABY BLUES: A BBAY BLUES TREASURY (BABY BLUES TREASURY)",1,2.93
15056263,,4.0,2,8.0,1,0,1,0,amazon.com,20070101,"ONE MORE AND WE'RE OUTNUMBERED!: BABY BLUES SCRAPBOOK  NO. 8 (BABY BLUES SCRAPBOOK , NO 8)",1,2.5
15212674,,3.0,2,11.0,1,0,1,0,amazon.com,20070101,YOUR BEST LIFE NOW 2006 DAILY CALENDAR: 7 STEPS TO LIVING AT YOUR FULL POTENTIAL,1,4.16
15212674,,3.0,2,11.0,1,0,1,0,amazon.com,20070101,YOUR BEST LIFE NOW 2006 DAILY CALENDAR: 7 STEPS TO LIVING AT YOUR FULL POTENTIAL,1,4.24
15253225,,4.0,3,5.0,7,1,1,0,amazon.com,20070101,THE DREAM-HUNTER (A DREAM-HUNTER NOVEL) CONDITION: NEW,1,7.99
15322794,,4.0,5,4.0,1,1,1,0,barnesandnoble.com,20070101,WEIGHT WATCHERS THE FIT FACTOR: HOW GETTING STRONG CAN HELP YOU LOSE WEIGHT PAPERBACK,1,11.65
15322794,,4.0,5,4.0,1,1,1,0,barnesandnoble.com,20070101,WEIGHT WATCHERS FAMILY POWER: 5 SIMPLE RULES FOR A HEALTHY WEIGHT HOME HARDCOVER,1,5.0
15349991,4.0,1.0,4,5.0,3,1,1,0,amazon.com,20070101,FINE COOKING [WITH $5 BONUS] CONDITION: NEW,1,29.95
15434531,,1.0,5,7.0,4,0,1,0,amazon.com,20070101,THE RESIDENT ASSISTANT: WORKING WITH COLLEGE STUDENTSIN RESIDENCE HALLS,1,1.78
15467685,1.0,4.0,6,7.0,6,1,1,0,barnesandnoble.com,20070101,"YOU, ON A DIET: THE OWNER'S MANUAL FOR WAIST MANAGEMENT HARDCOVER",1,17.5
15549058,4.0,2.0,3,3.0,5,1,1,0,amazon.com,20070101,WEIGHT WATCHERS SIMPLY THE BEST: 250 PRIZEWINNING FAMILY RECIPES CONDITION: NEW,1,12.21
15549058,4.0,2.0,3,3.0,5,1,1,0,amazon.com,20070101,"THE BIGGEST LOSER COOKBOOK: MORE THAN 125 HEALTHY, DELICIOUS RECIPES ADAPTED FROM NBC'S HIT SHOW CONDITION: NEW",1,13.17
15558047,,2.0,3,10.0,5,1,1,0,amazon.com,20070101,SOAPY: A BIOGRAPHY OF G. MENNEN WILLIAMS CONDITION: NEW,1,26.6
15558047,,2.0,3,10.0,5,1,1,0,amazon.com,20070101,WILLIAM G. MILLIKEN: MICHIGAN'S PASSIONATE MODERATE CONDITION: NEW,1,21.26
15565426,,3.0,3,10.0,5,1,1,0,barnesandnoble.com,20070101,YAMAHA BAND STUDENT: B FLAT CLARINET BK. 1 PAPERBACK,1,5.95
15607347,4.0,3.0,2,7.0,7,1,1,0,amazon.com,20070101,THE GOD WE NEVER KNEW: BEYOND DOGMATIC RELIGION TO A MORE AUTHENTHIC CONTEMPORARY FAITH,1,4.47
15607347,4.0,3.0,2,7.0,7,1,1,0,amazon.com,20070101,"JESUS: UNCOVERING THE LIFE, TEACHINGS, AND RELEVANCE OF A RELIGIOUS REVOLUTIONARY",1,13.25
6631403,5.0,3.0,1,10.0,3,0,1,1,amazon.com,20070102,PUSS 'N CAHOOTS: A MRS. MURPHY MYSTERY (MRS. MURPHY MYSTERIES (HARDCOVER)) CONDITION: NEW,1,16.5
6631403,5.0,3.0,1,10.0,3,0,1,1,amazon.com,20070102,TRAP DOOR (HOME REPAIR IS HOMICIDE MYSTERIES (HARDCOVER)) CONDITION: NEW,1,15.62
6631403,5.0,3.0,1,10.0,3,0,1,1,amazon.com,20070102,MOTIF FOR MURDER: A SCRAPBOOKING MYSTERY (SCRAPBOOKING MYSTERIES) CONDITION: NEW,1,16.29
6631403,5.0,3.0,1,10.0,3,0,1,1,amazon.com,20070102,SPANISH DAGGER (CHINA BAYLES MYSTERIES (HARDCOVER)) CONDITION: NEW,1,16.29
6631403,5.0,3.0,1,10.0,3,0,1,1,amazon.com,20070102,DRAGONWELL DEAD (TEA SHOP MYSTERIES) CONDITION: NEW,1,17.0
10260094,,3.0,3,7.0,5,1,1,0,amazon.com,20070102,SLICE OF CHRISTMAS FROM PIECE O'CAKE DESIGNS CONDITION: NEW,1,24.95
10571927,,3.0,5,9.0,5,1,1,0,amazon.com,20070102,THE FAMILY COW (A GARDEN WAY PUBLISHING BOOK) CONDITION: NEW,1,12.37
10571927,,3.0,5,9.0,5,1,1,0,amazon.com,20070102,KEEPING A FAMILY COW CONDITION: NEW,1,22.95
10735179,,1.0,2,9.0,6,1,1,0,amazon.com,20070102,10 CONVERSATIONS YOU NEED TO HAVE WITH YOUR CHILDREN CONDITION: NEW,1,15.58
10736888,,2.0,4,6.0,4,1,1,1,barnesandnoble.com,20070102,THE SILVER CHAIR PAPERBACK,1,10.95
11432820,,2.0,3,9.0,2,1,2,1,barnesandnoble.com,20070102,SUPERVISING PARAEDUCATORS IN SCHOOL SETTINGS: A TEAM APPROACH PAPERBACK,1,3.9
11525895,2.0,1.0,4,7.0,5,1,1,0,amazon.com,20070102,IT HAD TO BE YOU,1,2.07
11525895,2.0,1.0,4,7.0,5,1,1,0,amazon.com,20070102,NOBODY'S BABY BUT MINE,1,0.54
11525895,2.0,1.0,4,7.0,5,1,1,0,amazon.com,20070102,DEAR JOHN,1,5.94
12083644,4.0,4.0,6,7.0,7,1,1,0,barnesandnoble.com,20070102,BEST LIFE DIET HARDCOVER,1,14.04
12083644,4.0,4.0,6,7.0,7,1,1,0,barnesandnoble.com,20070102,CAMERON DIAZ CELEBRITY PACK SLIP SLEEVE,1,17.53
12494194,,4.0,4,4.0,5,1,1,0,amazon.com,20070102,STAIRCASE OF A THOUSAND STEPS CONDITION: NEW,1,3.99
12494194,,4.0,4,4.0,5,1,1,0,amazon.com,20070102,NEARLYWEDS CONDITION: NEW,1,10.4
12494194,,4.0,4,4.0,5,1,1,0,amazon.com,20070102,THE DISTANCE BETWEEN US CONDITION: NEW,1,11.66
12494194,,4.0,4,4.0,5,1,1,0,amazon.com,20070102,VEIL OF ROSES CONDITION: NEW,1,9.6
12604125,,3.0,5,9.0,5,1,1,0,amazon.com,20070102,STASH ENVY: AND OTHER QUILTING CONFESSIONS AND ADVENTURES,1,6.44
12604125,,3.0,5,9.0,5,1,1,0,amazon.com,20070102,THAT DORKY HOMEMADE LOOK: QUILTING LESSONS FROM A PARALLEL UNIVERSE,1,6.31
12604125,,3.0,5,9.0,5,1,1,0,amazon.com,20070102,PAINLESS PAPER-PIECING CONDITION: NEW,1,24.95
12604125,,3.0,5,9.0,5,1,1,0,amazon.com,20070102,WHAT I LEARNED FROM GOD WHILE QUILTING CONDITION: NEW,1,4.99
12774277,,4.0,2,6.0,7,0,1,1,amazon.com,20070102,"HOW TO RESTORE AND MODIFY YOUR CORVETTE, 1968-1982 (MOTORBOOKS WORKSHOP) CONDITION: NEW",1,16.47
12937722,,4.0,4,10.0,6,1,1,0,amazon.com,20070102,DEAL WITH IT!: YOU CANNOT CONQUER WHAT YOU WILL NOT CONFRONT CONDITION: NEW,1,11.89
12954474,,1.0,4,8.0,6,1,1,0,barnesandnoble.com,20070102,QUICK AND EASY MORE ORIGAMI PAPERBACK,1,2.0
12954474,,1.0,4,8.0,6,1,1,0,barnesandnoble.com,20070102,2007 WEGMAN PUPPIES WALL CALENDAR WALL CALENDAR,1,6.49
12954474,,1.0,4,8.0,6,1,1,0,barnesandnoble.com,20070102,ARE YOU SMARTER THAN YOU THINK?: 160 WAYS TO TEST AND ENHANCE YOUR NATURAL INTELLIGENCE PAPERBACK,1,5.0
12954474,,1.0,4,8.0,6,1,1,0,barnesandnoble.com,20070102,LT'S THEORY OF PETS AUDIO,1,2.0
12954474,,1.0,4,8.0,6,1,1,0,barnesandnoble.com,20070102,THE ROALD DAHL OMNIBUS: PERFECT BEDTIME STORIES FOR SLEEPLESS NIGHTS HARDCOVER,1,7.0
12995365,,2.0,2,9.0,5,1,1,0,barnesandnoble.com,20070102,BREAK NO BONES: A NOVEL (TEMPERANCE BRENNAN NOVELS (HARDCOVER)) HARDCOVER,1,7.21
12995365,,2.0,2,9.0,5,1,1,0,barnesandnoble.com,20070102,COMPLETE STEP-BY-STEP DIABETIC COOKBOOK OTHER FORMAT,1,5.0
12997968,,4.0,2,7.0,7,1,1,0,barnesandnoble.com,20070102,HANDS-ON MICROSOFT ACCESS: A PRACTICAL GUIDE TO IMPROVING YOUR ACCESS SKILLS (THE ADDISON-WESLEY MICROSOFT TECHNOLOGY SERIES) PAPERBACK,1,9.31
13001870,,2.0,2,7.0,4,0,1,1,amazon.com,20070102,THRILLING TOM THE DANCING BUG STORIES CONDITION: NEW,1,11.53
13001870,,2.0,2,7.0,4,0,1,1,amazon.com,20070102,ZIPPY: CONNECT THE POLKA DOTS (ZIPPY (GRAPHIC NOVELS)) CONDITION: NEW,1,13.45
13001870,,2.0,2,7.0,4,0,1,1,amazon.com,20070102,"ZIPPY: TYPE ""Z"" PERSONALITY (ZIPPY (GRAPHIC NOVELS)) CONDITION: NEW",1,13.57
13001870,,2.0,2,7.0,4,0,1,1,amazon.com,20070102,THE GREAT BIG BOOK OF TOMORROW: A TREASURY OF CARTOONS CONDITION: NEW,1,12.74
13074231,,3.0,3,11.0,5,1,1,0,amazon.com,20070102,THE ST. MARTIN'S GUIDE TO WRITING: SHORT,1,10.5
13074231,,3.0,3,11.0,5,1,1,0,barnesandnoble.com,20070102,BASIC MATHEMATICS WITH OTHER CONDITION: VERY GOOD,1,83.55
13075355,,3.0,6,4.0,4,1,1,0,barnesandnoble.com,20070102,PLUM LOVIN' HARDCOVER,1,10.17
13075355,,3.0,6,4.0,4,1,1,0,barnesandnoble.com,20070102,THE DREAM-HUNTER MASS MARKET PAPERBACK,1,7.19
13075355,,3.0,6,4.0,4,1,1,0,barnesandnoble.com,20070102,DEADLY GAME MASS MARKET PAPERBACK,1,7.19
13075355,,3.0,6,4.0,4,1,1,0,barnesandnoble.com,20070102,WHAT A LADY WANTS MASS MARKET PAPERBACK,1,6.29
13075355,,3.0,6,4.0,4,1,1,0,barnesandnoble.com,20070102,THE TASTE OF INNOCENCE HARDCOVER,1,17.96
13075355,,3.0,6,4.0,4,1,1,0,barnesandnoble.com,20070102,TOO WICKED TO TAME MASS MARKET PAPERBACK,1,5.39
13075355,,3.0,6,4.0,4,1,1,0,barnesandnoble.com,20070102,CAPTIVE OF MY DESIRES: MALORY FAMILY SERIES MASS MARKET PAPERBACK,1,7.19
13075355,,3.0,6,4.0,4,1,1,0,barnesandnoble.com,20070102,TOUCH OF ENCHANTMENT MASS MARKET PAPERBACK,1,4.49
13075355,,3.0,6,4.0,4,1,1,0,barnesandnoble.com,20070102,BEAUTY AND THE BEAST MASS MARKET PAPERBACK,1,4.49
13106187,2.0,3.0,5,7.0,7,1,1,1,barnesandnoble.com,20070102,WOMEN'S GROWTH IN CONNECTION: WRITINGS FROM THE STONE CENTER PAPERBACK,1,2.6
13106187,2.0,3.0,5,7.0,7,1,1,1,barnesandnoble.com,20070102,WOMEN'S WAY OF KNOWING PAPERBACK,1,4.37
13106187,2.0,3.0,5,7.0,7,1,1,1,barnesandnoble.com,20070102,PSYCHOLOGICAL CONSULTATION AND COLLABORATION: INTRODUCTION TO THEORY AND PRACTICE HARDCOVER,1,62.95
13106187,2.0,3.0,5,7.0,7,1,1,1,barnesandnoble.com,20070102,THE HEALING CONNECTION: HOW WOMEN FORM CONNECTIONS IN BOTH THERAPY AND IN LIFE PAPERBACK,1,13.6
13311956,,3.0,1,6.0,4,0,1,0,amazon.com,20070102,MICROSOFT OFFICE 2000: AN INTRODUCTION (ILLUSTRATED SERIES),1,9.99
13346861,,4.0,3,3.0,5,1,1,0,amazon.com,20070102,"UGLIES (UGLIES TRILOGY, BOOK 1)",1,3.8
